2019-07-23 17:41:03,808 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@f0ef68d: startup date [Tue Jul 23 17:41:03 CST 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2019-07-23 17:41:05,178 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[F:\apache-activemq-5.15.9\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-07-23 17:41:06,371 | INFO  | PListStore:[F:\apache-activemq-5.15.9\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2019-07-23 17:41:06,586 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:whisper-PC-60796-1563874866387-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-07-23 17:41:06,609 | INFO  | Listening for connections at: tcp://whisper-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-07-23 17:41:06,611 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-07-23 17:41:06,616 | INFO  | Listening for connections at: amqp://whisper-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-07-23 17:41:06,620 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-07-23 17:41:06,628 | INFO  | Listening for connections at: stomp://whisper-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-07-23 17:41:06,630 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-07-23 17:41:06,639 | INFO  | Listening for connections at: mqtt://whisper-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-07-23 17:41:06,642 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-07-23 17:41:06,652 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2019-07-23 17:41:06,697 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2019-07-23 17:41:06,779 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@17bc7c8a{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2019-07-23 17:41:06,845 | INFO  | Listening for connections at ws://whisper-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2019-07-23 17:41:06,846 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-07-23 17:41:06,849 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:whisper-PC-60796-1563874866387-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-07-23 17:41:06,851 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-07-23 17:41:06,855 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: F:\apache-activemq-5.15.9\bin\win64\..\..\data\kahadb only has 73586 mb of usable space. - resetting to maximum available disk space: 73586 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-07-23 17:41:07,733 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | WrapperSimpleAppMain
2019-07-23 17:41:08,138 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2019-07-23 17:41:08,139 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2019-07-23 17:41:08,247 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2019-07-23 17:41:08,493 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | WrapperSimpleAppMain
2019-07-23 17:41:08,790 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | WrapperSimpleAppMain
2019-07-23 17:42:29,290 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@f0ef68d: startup date [Tue Jul 23 17:42:29 CST 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2019-07-23 17:42:30,478 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[F:\apache-activemq-5.15.9\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-07-23 17:42:30,780 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovering pageFile free list due to prior unclean shutdown.. | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-07-23 17:42:30,790 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovered pageFile free list of size: 0 | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-07-23 17:42:30,794 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2019-07-23 17:42:30,831 | INFO  | PListStore:[F:\apache-activemq-5.15.9\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2019-07-23 17:42:31,042 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:whisper-PC-60922-1563874950844-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-07-23 17:42:31,064 | INFO  | Listening for connections at: tcp://127.0.0.1:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-07-23 17:42:31,066 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-07-23 17:42:31,074 | INFO  | Listening for connections at: amqp://whisper-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-07-23 17:42:31,078 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-07-23 17:42:31,085 | INFO  | Listening for connections at: stomp://whisper-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
